Localitate,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie
Brancovenesti,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Fratautii Noi,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Municipiul Odorheiu Secuiesc,6.0,0.0,29.0,0.0,41.0,0.0,67.0
Municipiul Aiud,7.0,0.0,0.0,1.0,5.0,15.0,23.0
Vama Buzaului,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Talpas,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Bradesti,0.0,0.0,0.0,0.0,32.0,0.0,0.0
Copalnic-Manastur,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Fratautii Vechi,0.0,0.0,0.0,0.0,0.0,10.0,32.0
Chiesd,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Banesti,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Valcelele,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Targu Trotus,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Zarnesti,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Oras Chisineu-Cris,0.0,0.0,0.0,0.0,0.0,0.0,57.0
Ceuasu De Campie,0.0,0.0,0.0,0.0,0.0,0.0,140.0
Frumosu,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Vistea,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cizer,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Traian,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Trifesti,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Oras Curtici,0.0,0.0,47.0,0.0,0.0,0.0,6.0
Nuseni,0.0,0.0,0.0,0.0,0.0,13.0,0.0
Fundu Moldovei,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Corbii Mari,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Ziduri,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Sabaoani,0.0,0.0,0.0,0.0,0.0,0.0,150.0
Brebu,0.0,0.0,0.0,0.0,1.0,0.0,7.0
Oras Ineu,0.0,0.0,0.0,0.0,0.0,0.0,47.0
Municipiul Blaj,113.0,0.0,0.0,0.0,64.0,4.0,135.0
Crasna,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Municipiul Galati,164.0,0.0,0.0,573.0,183.0,52.0,918.0
Coroieni,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Oras Lipova,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Sendreni,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Municipiul Miercurea Ciuc,60.0,0.0,2.0,0.0,136.0,1.0,397.0
Galanesti,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Vanatori,163.0,0.0,0.0,0.0,0.0,2.0,113.0
Cupseni,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Oras Nadlac,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Ceptura,53.0,0.0,42.0,0.0,0.0,14.0,0.0
Oras Gataia,285.0,0.0,0.0,0.0,0.0,0.0,14.0
Oarja,43.0,0.0,0.0,0.0,0.0,0.0,0.0
Oras Campeni,5.0,0.0,0.0,0.0,0.0,0.0,57.0
Oras Pancota,0.0,2.0,0.0,0.0,4.0,0.0,209.0
Gramesti,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Pietrosani,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Municipiul Tecuci,37.0,0.0,1.0,3.0,16.0,12.0,246.0
Desesti,0.0,0.0,2.0,0.0,0.0,0.0,14.0
Cornesti,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Draganesti,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Rebra,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Oras Sebis,2.0,0.0,0.0,0.0,0.0,0.0,23.0
Stroesti,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Sambata De Sus,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cristolt,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Oras Baile Tusnad,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Rebrisoara,0.0,0.0,0.0,0.0,30.0,0.0,0.0
Dragus,0.0,0.0,16.0,0.0,6.0,0.0,0.0
Oras Dragomiresti,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Stefan Cel Mare,0.0,0.0,0.0,0.0,0.0,11.0,0.0
Munteni,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dumbravita,0.0,0.0,0.0,0.0,0.0,0.0,18.0
