Locality,Shannon-Weaver entropy
Salacea,0.3587428265777143
Salard,1.025550635856168
Sambata,0.06503538353189947
Sarbi,0.4349275404301016
Spinus,0.8383999481465935
Suplacu De Barcau,1.9257956521563382
Simian,1.2644265104917962
Sinteu,0.14005563339828198
Soimi,0.729710319316236
Suncuius,0.5476909688392946
Tarcea,1.1022482652507402
Tarcaia,1.0073318972698055
Tauteu,1.51495309285039
Tileagd,1.2322663642562293
Tinca,1.252765791621868
Tulca,0.5392731594696467
Tetchea,1.2240171172499188
Uileacu De Beius,0.6848328408256945
Vadu Crisului,1.1552201583041906
Oras Valea Lui Mihai,0.8390293655406076
Viisoara,0.7425313236339456
Varciorog,0.11594294757695642
Tamaseu,0.8214892967622746
Paleu,0.8651061065616087
Sannicolau Roman,0.7760292313973044
Rosiori,1.0924199049691252
Gepiu,1.1585426805437042
Toboliu,0.5357478051634709
Municipiul Bistrita,0.5189689385901871
Oras Beclean,0.841230262126652
Oras Nasaud,0.36982905426621887
Oras Sangeorz-Bai,0.11599390203701099
Bistrita Bargaului,0.04143650757384589
Branistea,0.9522423778574045
Budacu De Jos,0.7392098785619734
Budesti,0.6713386314797667
Caianu Mic,0.04793969635981519
Cetate,0.8023744908505127
Ciceu-Giurgesti,0.16522512052434216
Chiochis,0.9549972317678272
Chiuza,0.12453449283917173
Cosbuc,0.0
Dumitra,0.16881528483174446
Feldru,0.0
Galatii Bistritei,0.901951220661878
Ilva Mare,0.08298899968232032
Ilva Mica,0.07943135878631173
Josenii Bargaului,0.4023605174148804
Lechinta,1.0930232687409285
Lesu,0.0
Livezile,0.45953770951895456
Lunca Ilvei,0.0
Maieru,0.018381360964546636
Matei,1.3323457275402868
Magura Ilvei,0.32367385561557266
Mariselu,0.5829456612850876
Micestii De Campie,0.9501751952103724
Milas,0.5030860480984198
Monor,0.35756980777844505
Nimigea,0.9158391115540613
Nuseni,0.8498640594585715
Parva,0.0
Petru Rares,1.4244880336260128
Prundu Bargaului,0.0487700657526184
Rebra,0.0
Rebrisoara,0.0
Rodna,0.6912241201612116
Romuli,0.019232499990584268
Salva,0.0
Silivasu De Campie,0.44679060190769543
Sanmihaiu De Campie,0.5933318828450781
Spermezeu,0.0
Sant,0.0
Sieu,0.6464850877886025
Sieu-Magherus,0.633384489767634
Sieu-Odorhei,0.46763921110052775
Sieut,0.19084788503496358
Sintereag,0.6198865347983895
Teaca,1.180975353384059
Telciu,0.018814925638178326
Tiha Bargaului,0.2561836054014208
Tarlisua,0.05194670090161874
Uriu,1.004657381694608
Urmenis,0.5925961381393063
Zagra,0.33503669246337603
Municipiul Botosani,0.1585247219623844
Curtesti,0.023724248299627985
Rachiti,0.0
Stauceni,0.03340512406713296
Oras Darabani,0.0
Municipiul Dorohoi,0.14579877262251104
Oras Saveni,0.18271216233062604
Albesti,0.22805212073306833
Avrameni,0.015033348958849491
Baluseni,0.2977192930914509
Braesti,0.0
Broscauti,0.0
Oras Bucecea,0.03129312026638402
Calarasi,0.0
Concesti,0.0
Copalau,0.15121779226964277
Cordareni,0.0
Corlateni,0.0
Corni,0.0
Cotusca,0.0
Cristesti,0.08146202691506
Cristinesti,0.009870046356712011
Dersca,0.014639684681472257
Dangeni,0.011494815306225049
Dobarceni,0.0
Draguseni,0.0
Durnesti,0.03444166043227082
Oras Flamanzi,0.173392365491332
Frumusica,0.08168355548574029
George Enescu,0.0951382937539655
Gorbanesti,0.0
Havarna,0.0
