Ani,NumeJudet,0
2004,Prahova,119193.90707311446
2004,Salaj,65189.949731826404
2004,Satu Mare,81894.08487544749
2004,Sibiu,248378.53265615844
2004,Suceava,110027.53098275796
2004,Teleorman,18900.5591141894
2004,Timis,429233.5543707422
2004,Tulcea,124572.11535368174
2004,Valcea,174710.24622192
2004,Vaslui,34577.22042018113
2004,Vrancea,50352.88515839937
2005,Alba,49867.383588495555
2005,Arad,240928.15722001105
2005,Arges,160419.17578298287
2005,Bacau,91817.60410545488
2005,Bihor,192770.31496407202
2005,Bistrita-Nasaud,115737.14788216703
2005,Botosani,58892.795047863074
2005,Braila,472348.10201684316
2005,Brasov,542570.3593422986
2005,Buzau,53821.71535644192
2005,Calarasi,88764.98719068413
2005,Caras-Severin,69170.29651662771
2005,Cluj,434024.4033357697
2005,Constanta,2143580.4966141083
2005,Covasna,107675.18522667701
2005,Dambovita,71214.89495689496
2005,Dolj,133328.26164828587
2005,Galati,211936.0
2005,Giurgiu,92945.39682705137
2005,Gorj,81109.60793154275
2005,Harghita,39928.26779372825
2005,Hunedoara,47334.972778495605
2005,Ialomita,41304.02837896567
2005,Iasi,379379.14894838486
2005,Ilfov,23427.195954264316
2005,Maramures,102184.04538078436
2005,Mehedinti,106019.25146878336
2005,Municipiul Bucuresti,2731912.0
2005,Mures,151489.42383062726
2005,Neamt,77076.359377044
2005,Olt,61245.51056958064
2005,Prahova,130939.82717233905
2005,Salaj,51688.70781101342
2005,Satu Mare,87526.88945308678
2005,Sibiu,231263.46606819972
2005,Suceava,95849.00300970284
2005,Teleorman,16875.21404273944
2005,Timis,440672.12682174385
2005,Tulcea,143784.4689623008
2005,Valcea,156742.8579232696
2005,Vaslui,31491.75373831776
2005,Vrancea,53198.99014843248
2006,Alba,52655.899724679046
2006,Arad,258749.6907994784
2006,Arges,158277.8816167171
2006,Bacau,96872.95027160585
2006,Bihor,206329.46742279103
2006,Bistrita-Nasaud,127776.8553069712
2006,Botosani,59906.89104939565
2006,Braila,471396.4569613619
2006,Brasov,583391.169383618
2006,Buzau,52308.405621907266
2006,Calarasi,105469.7761183921
2006,Caras-Severin,67867.18923801473
2006,Cluj,446473.2663552973
2006,Constanta,1959632.1968795592
2006,Covasna,99832.71177287897
2006,Dambovita,78288.07479497809
2006,Dolj,154758.12062661262
2006,Galati,234814.0
2006,Giurgiu,79055.49764426284
2006,Gorj,77799.31449442523
2006,Harghita,39253.99617458807
2006,Hunedoara,47759.05342615969
2006,Ialomita,50427.78367376503
2006,Iasi,444596.87408998975
2006,Ilfov,25678.391834890026
2006,Maramures,99795.54591515938
2006,Mehedinti,119229.46435340852
2006,Municipiul Bucuresti,3081108.0
2006,Mures,184134.17069900612
2006,Neamt,81396.39346197202
2006,Olt,60545.53528448135
2006,Prahova,156369.6325372304
2006,Salaj,52470.57521490736
2006,Satu Mare,91583.49027492417
2006,Sibiu,264793.1316247266
2006,Suceava,104417.89641333596
2006,Teleorman,18742.6771966736
2006,Timis,542694.8358239693
2006,Tulcea,155381.14197677982
2006,Valcea,160131.59871853632
2006,Vaslui,32163.945661364538
2006,Vrancea,56240.16859689297
2007,Alba,56665.587099456054
2007,Arad,261719.1445893032
2007,Arges,187821.98149720003
2007,Bacau,101130.0917363273
2007,Bihor,211813.10513406477
2007,Bistrita-Nasaud,129685.71286056246
2007,Botosani,64760.651620280296
2007,Braila,559783.9633679112
2007,Brasov,666706.5754089664
2007,Buzau,59665.08777372528
2007,Calarasi,60346.963721638116
2007,Caras-Severin,59509.36512808405
2007,Cluj,542268.123034607
2007,Constanta,2326008.7395897075
2007,Covasna,101386.3954690848
2007,Dambovita,80145.16579375022
2007,Dolj,227951.66134631707
2007,Galati,257424.4300286206
2007,Giurgiu,95862.17556618316
2007,Gorj,95505.16703085283
2007,Harghita,38728.11198858189
2007,Hunedoara,47710.997556325514
2007,Ialomita,57762.28885451679
